timestamp,PV.DC Power,BESS.DC Power,Battery Group 1.DC Power,Battery Group 2.DC Power,Battery Group 3.DC Power,Battery Group 4.DC Power,Inverter.Active Power,L2 7650 Meter.Active Power,OASIS POI.Active Power
="2015-08-06 01:00:00",17.3,-2.4,-0.5,-0.5,-0.5,-0.5,14.7,,7.2
="2015-08-07 01:00:00",18.2,-4.5,-0.9,-1.2,-1.1,-1.0,13.3,,4.6
="2015-08-08 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.5
="2015-08-09 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.9
="2015-08-10 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.0
="2015-08-11 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.0
="2015-08-12 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.1
="2015-08-13 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.6
="2015-08-14 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.8
="2015-08-15 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.6
="2015-08-16 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.6
="2015-08-17 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.6
="2015-08-18 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.6
="2015-08-19 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.6
="2015-08-20 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.0
="2015-08-21 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.5
="2015-08-22 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.6
="2015-08-23 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.7
="2015-08-24 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.4
="2015-08-25 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.9
="2015-08-26 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.5
="2015-08-27 01:00:00",2.6,-0.1,-0.0,-0.0,-0.0,-0.0,2.4,,-4.2
="2015-08-28 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.8
="2015-08-29 01:00:00",,,,,,,,,
="2015-08-30 01:00:00",,,,,,,,,
="2015-08-31 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.8
="2015-09-01 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.8
="2015-09-02 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.1
="2015-09-03 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.0
="2015-09-04 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.9
="2015-09-05 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.0
="2015-09-06 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.9
="2015-09-07 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.0
="2015-09-08 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.4
="2015-09-09 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.6
="2015-09-10 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.8
="2015-09-11 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.4
="2015-09-12 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.7
="2015-09-13 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.2
="2015-09-14 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.5
="2015-09-15 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.7
="2015-09-16 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.3
="2015-09-17 01:00:00",0.1,0.0,0.0,0.0,0.0,0.0,0.1,,-7.3
="2015-09-18 01:00:00",1.8,-1.0,-0.2,-0.2,-0.2,-0.2,0.8,,-6.6
="2015-09-19 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.9
="2015-09-20 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.2
="2015-09-21 01:00:00",16.1,-3.9,-0.9,-0.9,-0.9,-1.1,11.9,,4.6
="2015-09-22 01:00:00",40.8,-7.4,-1.5,-2.3,-2.1,-1.4,32.6,,24.2
="2015-09-23 01:00:00",22.6,4.9,1.3,1.2,1.3,1.3,26.2,,16.6
="2015-09-24 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.1
="2015-09-25 01:00:00",11.6,-8.6,-2.0,-2.2,-2.2,-2.0,3.2,,-3.9
="2015-09-26 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.5
="2015-09-27 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.5
="2015-09-28 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.4
="2015-09-29 01:00:00",39.7,-2.7,-0.1,-1.2,-0.9,-0.5,35.8,,26.6
="2015-09-30 01:00:00",38.8,-3.0,-0.5,-1.1,-0.9,-0.4,33.7,,22.3
="2015-10-01 01:00:00",10.6,0.9,0.6,0.2,0.2,0.6,9.5,,0.0
="2015-10-02 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.0
="2015-10-03 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.5
="2015-10-04 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.9
